LAT,LON,P,T
23.86232465,62.18937876,50.96766853,-67.27468491
23.86232465,62.61022044,51.08919525,-67.17412567
23.86232465,63.03106212,51.37926865,-66.98847961
23.86232465,63.45190381,50.10673332,-66.76149368
23.86232465,63.87274549,49.866745,-66.52734756
23.86232465,64.29358717,49.21272659,-66.45710754
23.86232465,64.71442886,49.68080521,-66.39412308
23.86232465,65.55611222,48.92849731,-66.3405304
23.86232465,65.13527054,49.89274025,-66.06938553
23.86232465,65.97695391,50.61732101,-65.94504547
23.86232465,66.39779559,52.55327988,-65.83564758
23.86232465,66.81863727,58.56810951,-65.17557144
23.86232465,67.23947896,65.79886627,-65.13022232
23.86232465,68.08116232,67.71635056,-64.85613632
23.86232465,67.66032064,65.90528488,-64.81357193
23.86232465,68.50200401,74.55441666,-64.56658173
23.86232465,68.92284569,79.04200363,-64.3334198
23.86232465,69.34368737,84.9111824,-64.32252502
23.86232465,69.76452906,91.29474258,-64.04983521
23.86232465,70.18537074,99.33711243,-63.94507217
23.86232465,70.60621242,107.0170746,-63.79973221
23.86232465,71.02705411,111.0467453,-63.61891556
23.86232465,71.44789579,114.3292618,-63.38140869
23.86232465,71.86873747,116.6232262,-63.19515228
23.86232465,72.28957916,118.4681053,-62.94558334
23.86232465,72.71042084,122.258316,-62.72920609
23.86232465,73.13126253,125.2973175,-62.66318893
23.86232465,73.55210421,129.6977997,-62.45388985
23.86232465,73.97294589,136.5378799,-62.17472458
23.86232465,74.39378758,139.1980591,-62.08517647
23.86232465,74.81462926,142.6059494,-62.00819016
23.86232465,75.65631263,150.8297958,-61.96569824
23.86232465,75.23547094,146.9682922,-61.94338989
23.86232465,76.07715431,138.4324722,-61.81812859
23.86232465,76.49799599,139.7990952,-61.70332718
23.86232465,76.91883768,144.7425385,-61.58163261
23.86232465,78.60220441,151.9156265,-61.32643318
23.86232465,77.33967936,144.0808945,-61.24212646
23.86232465,78.18136273,152.4629211,-61.19790077
23.86232465,77.76052104,147.0509491,-61.18664169
23.86232465,79.02304609,154.3706512,-61.13968277
23.86232465,79.44388778,154.03759,-61.01978302
23.86232465,80.28557114,156.2665863,-60.8515377
23.86232465,79.86472946,154.4202347,-60.77025795
23.86232465,80.70641283,159.2715149,-60.62277031
23.86232465,81.12725451,161.2991333,-60.45695496
23.86232465,82.81062124,162.0926895,-60.30949593
23.86232465,82.38977956,162.1788406,-60.30653954
23.86232465,81.54809619,162.5089035,-60.29369164
23.86232465,81.96893788,161.9589462,-60.25717926
24.22304609,62.18937876,51.20307922,-67.58978271
24.22304609,62.61022044,51.58412552,-67.12771988
24.22304609,63.03106212,51.31364632,-66.81613159
24.22304609,64.29358717,47.53002167,-66.80477524
24.22304609,63.87274549,46.298172,-66.78984451
24.22304609,64.71442886,48.534729,-66.69029236
24.22304609,63.45190381,48.98173714,-66.60311127
24.22304609,65.55611222,46.32293892,-66.40382004
24.22304609,65.13527054,46.06098557,-66.23830795
24.22304609,66.39779559,53.93510628,-65.6801033
24.22304609,65.97695391,49.05452156,-65.5739212
24.22304609,67.66032064,61.57979012,-65.1960907
24.22304609,68.08116232,65.89498901,-65.06312561
24.22304609,68.50200401,73.92998886,-64.98849487
24.22304609,66.81863727,60.03725243,-64.92876434
24.22304609,67.23947896,63.09413528,-64.73548126
24.22304609,68.92284569,78.52465057,-64.66829681
24.22304609,69.76452906,89.0953598,-64.2364006
24.22304609,69.34368737,83.44446182,-64.21833038
24.22304609,70.60621242,105.6608238,-63.98825645
24.22304609,70.18537074,97.03145981,-63.96721077
24.22304609,71.02705411,109.7751427,-63.70235443
24.22304609,71.44789579,111.3465385,-63.41116333
24.22304609,71.86873747,114.7337189,-63.16990852
24.22304609,72.28957916,117.0341034,-62.95519638
24.22304609,73.13126253,123.3103485,-62.79677963
24.22304609,72.71042084,119.8369217,-62.72377205
24.22304609,73.55210421,129.0148697,-62.66628265
24.22304609,73.97294589,134.8671875,-62.47373772
24.22304609,74.39378758,138.4381866,-62.36245346
24.22304609,74.81462926,141.3820801,-62.25045967
24.22304609,75.23547094,156.695549,-61.8728714
24.22304609,75.65631263,154.6416321,-61.62272453
