VX, VY, COL, ROW
-0.316138, 0.548339, 0, 0
-0.371821, 0.53725, 0, 1
-0.339555, 0.56063, 0, 2
-0.302786, 0.583222, 0, 3
-0.261386, 0.604343, 0, 4
-0.21541, 0.623212, 0, 5
-0.16515, 0.638984, 0, 6
-0.111168, 0.650822, 0, 7
-0.0543142, 0.657975, 0, 8
0.00430685, 0.65987, 0, 9
0.0634054, 0.656198, 0, 10
0.121617, 0.646954, 0, 11
0.177618, 0.632456, 0, 12
0.230247, 0.613291, 0, 13
0.278576, 0.59026, 0, 14
0.321957, 0.564272, 0, 15
0.360019, 0.53627, 0, 16
0.392639, 0.507156, 0, 17
0.419885, 0.477755, 0, 18
0.441968, 0.448798, 0, 19
0.459201, 0.420893, 0, 20
0.471939, 0.394565, 0, 21
0.480566, 0.37025, 0, 22
0.485466, 0.348309, 0, 23
0.487005, 0.32905, 0, 24
0.485528, 0.312731, 0, 25
0.481346, 0.299575, 0, 26
0.47475, 0.289746, 0, 27
0.466003, 0.283325, 0, 28
0.455333, 0.28035, 0, 29
0.442949, 0.280757, 0, 30
0.429066, 0.284358, 0, 31
0.413919, 0.290821, 0, 32
0.3978, 0.299669, 0, 33
0.381085, 0.310287, 0, 34
0.364226, 0.322005, 0, 35
0.347763, 0.334122, 0, 36
0.332262, 0.346005, 0, 37
0.318248, 0.357159, 0, 38
0.306145, 0.367243, 0, 39
0.296255, 0.376039, 0, 40
0.288719, 0.383458, 0, 41
0.283538, 0.389501, 0, 42
0.280605, 0.394211, 0, 43
0.279748, 0.39764, 0, 44
0.280734, 0.399878, 0, 45
0.283306, 0.40102, 0, 46
0.287212, 0.401146, 0, 47
0.292217, 0.400327, 0, 48
0.298088, 0.398653, 0, 49
-0.287912, 0.623042, 1, 0
-0.342573, 0.617744, 1, 1
-0.311039, 0.640522, 1, 2
-0.275746, 0.662158, 1, 3
-0.236677, 0.682054, 1, 4
-0.193949, 0.699559, 1, 5
-0.147839, 0.714, 1, 6
-0.0988055, 0.724726, 1, 7
-0.0474793, 0.731157, 1, 8
0.00534877, 0.73284, 1, 9
0.058769, 0.729489, 1, 10
0.111805, 0.721026, 1, 11
0.163474, 0.707588, 1, 12
0.212854, 0.689515, 1, 13
0.25913, 0.667331, 1, 14
0.30164, 0.641695, 1, 15
0.339884, 0.613362, 1, 16
0.373533, 0.583127, 1, 17
0.402417, 0.551794, 1, 18
0.426503, 0.52014, 1, 19
0.445859, 0.488921, 1, 20
0.46065, 0.458812, 1, 21
0.471087, 0.430468, 1, 22
0.477433, 0.404461, 1, 23
0.479955, 0.381338, 1, 24
0.478934, 0.361574, 1, 25
0.474634, 0.3456, 1, 26
0.467321, 0.333739, 1, 27
0.457226, 0.326221, 1, 28
0.444555, 0.323152, 1, 29
0.429514, 0.324455, 1, 30
0.41232, 0.329851, 1, 31
0.393289, 0.338777, 1, 32
0.372842, 0.350481, 1, 33
0.351583, 0.364011, 1, 34
0.330267, 0.378384, 1, 35
0.309736, 0.392705, 1, 36
0.290802, 0.406273, 1, 37
0.274133, 0.418633, 1, 38
0.260174, 0.429555, 1, 39
0.249152, 0.438945, 1, 40
0.241076, 0.446836, 1, 41
0.235807, 0.4533, 1, 42
0.233107, 0.458429, 1, 43
0.232688, 0.462311, 1, 44
0.234243, 0.465031, 1, 45
0.237455, 0.466688, 1, 46
0.242043, 0.467344, 1, 47
0.247749, 0.467064, 1, 48
0.254336, 0.465914, 1, 49
-0.308471, 0.623111, 2, 0
-0.366321, 0.617324, 2, 1
-0.333978, 0.642766, 2, 2
-0.297282, 0.667204, 2, 3
-0.256136, 0.689932, 2, 4
-0.210606, 0.710156, 2, 5
-0.160957, 0.727037, 2, 6
-0.107693, 0.739738, 2, 7
-0.0515475, 0.747506, 2, 8
0.00652427, 0.749734, 2, 9
0.0654051, 0.74604, 2, 10
0.123885, 0.736307, 2, 11
0.180748, 0.720701, 2, 12
0.234867, 0.699658, 2, 13
0.285262, 0.673848, 2, 14
0.331168, 0.644097, 2, 15
0.372039, 0.611335, 2, 16
0.407554, 0.57652, 2, 17
0.437578, 0.54061, 2, 18
0.462147, 0.504504, 2, 19
0.481419, 0.46904, 2, 20
0.495639, 0.43499, 2, 21
0.505108, 0.403064, 2, 22
0.510162, 0.373904, 2, 23
0.511147, 0.348111, 2, 24
0.508404, 0.326233, 2, 25
0.50224, 0.308795, 2, 26
0.492953, 0.296203, 2, 27
0.480778, 0.288794, 2, 28
0.465895, 0.286771, 2, 29
0.448429, 0.290152, 2, 30
0.428519, 0.298636, 2, 31
0.40637, 0.311572, 2, 32
0.382373, 0.327944, 2, 33
0.357197, 0.34643, 2, 34
0.331812, 0.365618, 2, 35
0.307364, 0.384266, 2, 36
0.284986, 0.401459, 2, 37
0.265576, 0.416696, 2, 38
0.249677, 0.429819, 2, 39
0.237493, 0.440861, 2, 40
0.22894, 0.449968, 2, 41
0.223744, 0.457322, 2, 42
0.221536, 0.463084, 2, 43
0.221904, 0.467404, 2, 44
0.224448, 0.470398, 2, 45
0.22877, 0.472192, 2, 46
0.234527, 0.472874, 2, 47
0.241419, 0.472521, 2, 48
0.249167, 0.471226, 2, 49
-0.331592, 0.621451, 3, 0
-0.392928, 0.615065, 3, 1
-0.360032, 0.643509, 3, 2
-0.322101, 0.671183, 3, 3
-0.278917, 0.69726, 3, 4
-0.230461, 0.720775, 3, 5
-0.176964, 0.740672, 3, 6
-0.118959, 0.755875, 3, 7
-0.0573069, 0.76539, 3, 8
0.00683545, 0.768399, 3, 9
0.0720721, 0.76438, 3, 10
0.136885, 0.753161, 3, 11
0.199741, 0.734959, 3, 12
0.259243, 0.710347, 3, 13
0.314218, 0.68019, 3, 14
0.36378, 0.645545, 3, 15
0.407344, 0.607576, 3, 16
0.444625, 0.567439, 3, 17
0.475563, 0.526266, 3, 18
0.500303, 0.485081, 3, 19
0.519111, 0.444824, 3, 20
0.532354, 0.406326, 3, 21
0.540437, 0.370355, 3, 22
0.543792, 0.337618, 3, 23
0.542863, 0.308742, 3, 24
0.538054, 0.284383, 3, 25
0.52975, 0.265133, 3, 26
0.518294, 0.251516, 3, 27
0.50393, 0.244044, 3, 28
0.486806, 0.243088, 3, 29
0.466959, 0.24882, 3, 30
0.444358, 0.261039, 3, 31
0.418994, 0.279047, 3, 32
0.391098, 0.301501, 3, 33
0.36137, 0.326501, 3, 34
0.331062, 0.351959, 3, 35
0.301844, 0.376033, 3, 36
0.275359, 0.397553, 3, 37
0.252853, 0.416021, 3, 38
0.234981, 0.431454, 3, 39
0.221838, 0.444137, 3, 40
0.213169, 0.454394, 3, 41
0.208487, 0.462545, 3, 42
0.207223, 0.468861, 3, 43
0.208817, 0.47354, 3, 44
0.21275, 0.476735, 3, 45
0.21854, 0.478599, 3, 46
0.225782, 0.479237, 3, 47
0.234131, 0.478741, 3, 48
0.243279, 0.477224, 3, 49
-0.357582, 0.617509, 4, 0
-0.422692, 0.6104, 4, 1
-0.389615, 0.642196, 4, 2
-0.350731, 0.673591, 4, 3
-0.305653, 0.703627, 4, 4
-0.25421, 0.731137, 4, 5
-0.196557, 0.754792, 4, 6
-0.133239, 0.773194, 4, 7
-0.0652521, 0.785012, 4, 8
0.00598026, 0.789134, 4, 9
0.0786932, 0.784831, 4, 10
0.150938, 0.77186, 4, 11
0.220759, 0.750515, 4, 12
0.286405, 0.721564, 4, 13
0.346448, 0.686165, 4, 14
0.399881, 0.645691, 4, 15
0.446113, 0.6016, 4, 16
0.484928, 0.555314, 4, 17
0.516411, 0.508132, 4, 18
0.54085, 0.461224, 4, 19
0.558675, 0.415602, 4, 20
0.570392, 0.372157, 4, 21
0.57654, 0.331681, 4, 22
0.577671, 0.294899, 4, 23
0.57432, 0.262507, 4, 24
0.566996, 0.235206, 4, 25
0.556173, 0.213671, 4, 26
0.542261, 0.198593, 4, 27
0.525561, 0.190657, 4, 28
0.506213, 0.190526, 4, 29
0.484154, 0.198682, 4, 30
0.459098, 0.215236, 4, 31
0.430647, 0.23957, 4, 32
0.398613, 0.270016, 4, 33
0.363554, 0.303778, 4, 34
0.327142, 0.337545, 4, 35
0.29193, 0.368504, 4, 36
0.260481, 0.395106, 4, 37
0.234567, 0.417033, 4, 38
0.214864, 0.434755, 4, 39
0.201233, 0.448936, 4, 40
0.193057, 0.4602, 4, 41
0.189528, 0.469036, 4, 42
0.189834, 0.475798, 4, 43
0.193219, 0.480747, 4, 44
0.199043, 0.484059, 4, 45
0.206726, 0.48592, 4, 46
0.215815, 0.486439, 4, 47
0.225923, 0.485732, 4, 48
0.236725, 0.483915, 4, 49
-0.386749, 0.610577, 5, 0
-0.455886, 0.602608, 5, 1
-0.423158, 0.638094, 5, 2
-0.383773, 0.673732, 5, 3
-0.337089, 0.708437, 5, 4
-0.282711, 0.740807, 5, 5
-0.220631, 0.769174, 5, 6
-0.151359, 0.791709, 5, 7
-0.0760427, 0.806601, 5, 8
0.00356015, 0.812311, 5, 9
0.085176, 0.807804, 5, 10
0.166251, 0.792739, 5, 11
0.24424, 0.767527, 5, 12
0.316912, 0.733244, 5, 13
0.382529, 0.691474, 5, 14
0.439969, 0.64403, 5, 15
0.488687, 0.592766, 5, 16
0.528627, 0.539405, 5, 17
0.560076, 0.485458, 5, 18
0.583555, 0.432192, 5, 19
0.599696, 0.380675, 5, 20
0.609177, 0.331819, 5, 21
0.612688, 0.286407, 5, 22
0.610905, 0.245157, 5, 23
0.604477, 0.208784, 5, 24
0.59402, 0.178014, 5, 25
0.580118, 0.153622, 5, 26
0.563298, 0.136426, 5, 27
0.543971, 0.127334, 5, 28
0.52235, 0.127381, 5, 29
0.498333, 0.13758, 5, 30
0.471364, 0.158697, 5, 31
0.440399, 0.190647, 5, 32
0.404309, 0.231646, 5, 33
0.363004, 0.277534, 5, 34
0.31869, 0.322696, 5, 35
0.275643, 0.362445, 5, 36
0.238162, 0.394801, 5, 37
0.208711, 0.420166, 5, 38
0.187755, 0.439892, 5, 39
0.174537, 0.455297, 5, 40
0.16784, 0.46736, 5, 41
0.166401, 0.476736, 5, 42
0.169093, 0.483854, 5, 43
0.174972, 0.488996, 5, 44
0.183264, 0.492374, 5, 45
0.193334, 0.494154, 5, 46
0.204673, 0.494485, 5, 47
0.216868, 0.493495, 5, 48
0.229596, 0.491301, 5, 49
-0.419373, 0.599747, 6, 0
-0.492729, 0.590786, 6, 1
-0.461082, 0.630242, 6, 2
-0.421871, 0.670653, 6, 3
-0.374106, 0.710823, 6, 4
-0.31703, 0.749111, 6, 5
-0.250344, 0.783424, 6, 6
-0.174439, 0.811352, 6, 7
-0.0905749, 0.830408, 6, 8
-0.000961797, 0.838399, 6, 9
0.0914166, 0.833833, 6, 10
0.183137, 0.816214, 6, 11
0.270808, 0.786156, 6, 12
0.351534, 0.745225, 6, 13
0.42321, 0.695639, 6, 14
0.484639, 0.639842, 6, 15
0.535426, 0.580217, 6, 16
0.575808, 0.518816, 6, 17
0.606398, 0.457364, 6, 18
0.628025, 0.397185, 6, 19
0.641575, 0.339354, 6, 20
0.64793, 0.28473, 6, 21
0.647933, 0.234037, 6, 22
0.642379, 0.187962, 6, 23
0.632025, 0.147169, 6, 24
0.617593, 0.112407, 6, 25
0.599791, 0.0845044, 6, 26
0.579301, 0.0643385, 6, 27
0.556719, 0.0530492, 6, 28
0.53247, 0.0520534, 6, 29
0.50662, 0.0630643, 6, 30
0.478516, 0.0880301, 6, 31
0.446341, 0.128381, 6, 32
0.407105, 0.183198, 6, 33
0.35859, 0.246588, 6, 34
0.303396, 0.308092, 6, 35
0.249586, 0.359022, 6, 36
0.20493, 0.39735, 6, 37
0.172517, 0.425557, 6, 38
0.151737, 0.446702, 6, 39
0.140552, 0.462963, 6, 40
0.136825, 0.475637, 6, 41
0.138736, 0.485467, 6, 42
0.144845, 0.492897, 6, 43
0.154045, 0.498207, 6, 44
0.165475, 0.501604, 6, 45
0.178457, 0.503273, 6, 46
0.192473, 0.503355, 6, 47
0.207102, 0.502011, 6, 48
0.222027, 0.499366, 6, 49
-0.455657, 0.583876, 7, 0
-0.533315, 0.573817, 7, 1
-0.503729, 0.6174, 7, 2
-0.465686, 0.663048, 7, 3
-0.417702, 0.709539, 7, 4
-0.358481, 0.754999, 7, 5
-0.287212, 0.796853, 7, 6
-0.203971, 0.831908, 7, 7
-0.110095, 0.856688, 7, 8
-0.0083274, 0.868001, 7, 9
0.0973127, 0.863615, 7, 10
0.202099, 0.842803, 7, 11
0.301387, 0.806526, 7, 12
0.391354, 0.757154, 7, 13
0.469473, 0.69789, 7, 14
0.534589, 0.63209, 7, 15
0.586675, 0.562787, 7, 16
0.626455, 0.492424, 7, 17
0.655037, 0.422847, 7, 18
0.673654, 0.355381, 7, 19
0.6835, 0.290996, 7, 20
0.685663, 0.230434, 7, 21
0.681126, 0.174289, 7, 22
0.670773, 0.123164, 7, 23
0.655436, 0.077662, 7, 24
0.635921, 0.0384702, 7, 25
0.613051, 0.00641748, 7, 26
0.587659, -0.0176164, 7, 27
0.560582, -0.0324046, 7, 28
0.5326, -0.0362893, 7, 29
0.50427, -0.0268877, 7, 30
0.475444, -0.00075129, 7, 31
0.44414, 0.0466195, 7, 32
0.40464, 0.118427, 7, 33
0.348489, 0.208525, 7, 34
0.276743, 0.295213, 7, 35
0.207331, 0.359795, 7, 36
0.155263, 0.402885, 7, 37
0.122395, 0.432502, 7, 38
0.104814, 0.454333, 7, 39
0.0982944, 0.471218, 7, 40
0.0996008, 0.484506, 7, 41
0.10643, 0.494875, 7, 42
0.117152, 0.502697, 7, 43
0.130582, 0.508232, 7, 44
0.145852, 0.51167, 7, 45
0.162294, 0.513211, 7, 46
0.179418, 0.51301, 7, 47
0.19682, 0.511247, 7, 48
0.214211, 0.508075, 7, 49
-0.495634, 0.56156, 8, 0
-0.577534, 0.550361, 8, 1
-0.551276, 0.597984, 8, 2
-0.515787, 0.649161, 8, 3
-0.468947, 0.702781, 8, 4
-0.408651, 0.756846, 8, 5
-0.333219, 0.808274, 8, 6
-0.24207, 0.852858, 8, 7
-0.136394, 0.885666, 8, 8
-0.0195998, 0.901906, 8, 9
0.102767, 0.898106, 8, 10
0.223956, 0.873158, 8, 11
0.337377, 0.828656, 8, 12
0.437906, 0.76834, 8, 13
0.522603, 0.696976, 8, 14
0.590632, 0.619226, 8, 15
0.642701, 0.538917, 8, 16
0.680354, 0.458826, 8, 17
0.705404, 0.380794, 8, 18
0.719587, 0.305983, 8, 19
0.724431, 0.23511, 8, 20
0.7212, 0.168698, 8, 21
0.710967, 0.107182, 8, 22
0.694647, 0.051018, 8, 23
0.673089, 0.000712366, 8, 24
0.647127, -0.0431058, 8, 25
0.617634, -0.0797209, 8, 26
0.585541, -0.108305, 8, 27
0.551866, -0.127763, 8, 28
0.517742, -0.136508, 8, 29
0.484378, -0.132115, 8, 30
0.4529, -0.110259, 8, 31
0.423302, -0.062877, 8, 32
0.389765, 0.0239156, 8, 33
0.329251, 0.157147, 8, 34
0.227551, 0.287672, 8, 35
0.135773, 0.365348, 8, 36
0.0812821, 0.408974, 8, 37
0.0548224, 0.438387, 8, 38
0.0457355, 0.460854, 8, 39
0.0475169, 0.478806, 8, 40
0.0563339, 0.493195, 8, 41
0.0698075, 0.504488, 8, 42
0.0863704, 0.512973, 8, 43
0.104943, 0.518892, 8, 44
0.124738, 0.522463, 8, 45
0.145168, 0.523894, 8, 46
0.165801, 0.523394, 8, 47
0.186295, 0.521157, 8, 48
0.206394, 0.517387, 8, 49
-0.539056, 0.531117, 9, 0
-0.624942, 0.518862, 9, 1
-0.603585, 0.570033, 9, 2
-0.572531, 0.62665, 9, 3
-0.528876, 0.687968, 9, 4
-0.469376, 0.752126, 9, 5
-0.390965, 0.815641, 9, 6
-0.291702, 0.873104, 9, 7
-0.172133, 0.917431, 9, 8
-0.0363765, 0.94117, 9, 9
0.107722, 0.938656, 9, 10
0.250083, 0.908102, 9, 11
0.380971, 0.852302, 9, 12
0.493424, 0.777436, 9, 13
0.584259, 0.690836, 9, 14
0.653605, 0.598972, 9, 15
0.703562, 0.506523, 9, 16
0.736969, 0.416354, 9, 17
0.756566, 0.330035, 9, 18
0.764678, 0.248278, 9, 19
0.763106, 0.171414, 9, 20
0.753226, 0.0996296, 9, 21
0.736099, 0.0331337, 9, 22
0.712584, -0.0277712, 9, 23
0.683458, -0.0826516, 9, 24
0.649495, -0.130969, 9, 25
0.611525, -0.172054, 9, 26
0.570444, -0.205247, 9, 27
0.527256, -0.229705, 9, 28
0.483104, -0.244332, 9, 29
0.439363, -0.247432, 9, 30
0.397836, -0.235898, 9, 31
0.361277, -0.202607, 9, 32
0.333496, -0.126282, 9, 33
0.29094, 0.0664101, 9, 34
0.115432, 0.292086, 9, 35
0.011526, 0.365849, 9, 36
-0.0233686, 0.40667, 9, 37
-0.0307272, 0.437965, 9, 38
-0.0245347, 0.463432, 9, 39
-0.0106075, 0.484204, 9, 40
0.00807562, 0.500864, 9, 41
0.0297439, 0.513831, 9, 42
0.0532338, 0.523451, 9, 43
0.0777371, 0.530034, 9, 44
0.102648, 0.53387, 9, 45
0.127518, 0.535255, 9, 46
0.152007, 0.534446, 9, 47
0.175854, 0.531699, 9, 48
0.198862, 0.527266, 9, 49
-0.585211, 0.490651, 10, 0
-0.674595, 0.477637, 10, 1
-0.659949, 0.531247, 10, 2
-0.635725, 0.592528, 10, 3
-0.598177, 0.661492, 10, 4
-0.542609, 0.736914, 10, 5
-0.463768, 0.815408, 10, 6
-0.35718, 0.890366, 10, 7
-0.221486, 0.951652, 10, 8
-0.0612061, 0.987242, 10, 9
0.112217, 0.987278, 10, 10
0.282899, 0.94864, 10, 11
0.435731, 0.876563, 10, 12
0.561139, 0.781851, 10, 13
0.656475, 0.676067, 10, 14
0.724188, 0.567997, 10, 15
0.768879, 0.462867, 10, 16
0.795245, 0.3631, 10, 17
0.807158, 0.269427, 10, 18
0.80745, 0.181809, 10, 19
0.798085, 0.0999764, 10, 20
0.78038, 0.0237067, 10, 21
0.755246, -0.0470291, 10, 22
0.723365, -0.112026, 10, 23
0.68534, -0.170894, 10, 24
0.641793, -0.223062, 10, 25
0.59341, -0.267901, 10, 26
0.540914, -0.30479, 10, 27
0.48504, -0.333114, 10, 28
0.42646, -0.352194, 10, 29
0.365602, -0.361278, 10, 30
0.302362, -0.359215, 10, 31
0.235172, -0.343826, 10, 32
0.156975, -0.30974, 10, 33
0.00326006, -0.228765, 10, 34
-0.1781, 0.220451, 10, 35
-0.166032, 0.321962, 10, 36
-0.149386, 0.381984, 10, 37
-0.127354, 0.425847, 10, 38
-0.101507, 0.459756, 10, 39
-0.0731239, 0.486316, 10, 40
-0.0431491, 0.506954, 10, 41
-0.0123048, 0.522612, 10, 42
0.0188283, 0.533967, 10, 43
0.0497992, 0.541553, 10, 44
0.0802585, 0.545841, 10, 45
0.109893, 0.547246, 10, 46
0.138502, 0.546126, 10, 47
0.165901, 0.542817, 10, 48
0.191967, 0.537641, 10, 49
-0.632699, 0.438215, 11, 0
-0.724888, 0.425041, 11, 1
-0.718823, 0.47913, 11, 2
-0.704215, 0.543192, 11, 3
-0.676662, 0.61848, 11, 4
-0.629885, 0.705265, 11, 5
-0.555606, 0.801398, 11, 6
-0.444736, 0.899938, 11, 7
-0.291234, 0.986877, 11, 8
-0.0984572, 1.04214, 11, 9
0.116529, 1.04717, 11, 10
0.326891, 0.995887, 11, 11
0.507577, 0.898973, 11, 12
0.645648, 0.776566, 11, 13
0.741416, 0.647069, 11, 14
0.802429, 0.521557, 11, 15
0.83739, 0.40464, 11, 16
0.853372, 0.297089, 11, 17
0.855261, 0.198118, 11, 18
0.846142, 0.106548, 11, 19
0.827847, 0.0213472, 11, 20
0.801402, -0.0580899, 11, 21
0.767379, -0.131993, 11, 22
0.726155, -0.200148, 11, 23
0.678064, -0.26206, 11, 24
0.623518, -0.317, 11, 25
0.563026, -0.364148, 11, 26
0.497075, -0.402783, 11, 27
0.426065, -0.43216, 11, 28
0.350015, -0.451571, 11, 29
0.268075, -0.46014, 11, 30
0.177516, -0.456219, 11, 31
0.0711941, -0.435388, 11, 32
-0.068313, -0.381344, 11, 33
-0.254952, -0.227745, 11, 34
-0.346638, 0.0482048, 11, 35
-0.314364, 0.232801, 11, 36
-0.267068, 0.335878, 11, 37
-0.221639, 0.402667, 11, 38
-0.178114, 0.450169, 11, 39
-0.135865, 0.485342, 11, 40
-0.0946666, 0.511598, 11, 41
-0.0545153, 0.530916, 11, 42
-0.0155225, 0.544571, 11, 43
0.0221468, 0.553482, 11, 44
0.0583472, 0.558381, 11, 45
0.0929447, 0.55985, 11, 46
0.125814, 0.558398, 11, 47
0.156887, 0.554462, 11, 48
0.186101, 0.548449, 11, 49
-0.67925, 0.372129, 12, 0
-0.773407, 0.359783, 12, 1
-0.777483, 0.411368, 12, 2
-0.775255, 0.47478, 12, 3
-0.762257, 0.552897, 12, 4
-0.731129, 0.648564, 12, 5
-0.670247, 0.763006, 12, 6
-0.563241, 0.891898, 12, 7
-0.393185, 1.01839, 12, 8
-0.156407, 1.10857, 12, 9
0.121526, 1.12387, 12, 10
0.390913, 1.05055, 12, 11
0.606625, 0.913061, 12, 12
0.753002, 0.751747, 12, 13
0.840445, 0.594912, 12, 14
0.886774, 0.453418, 12, 15
0.906397, 0.328227, 12, 16
0.908528, 0.216756, 12, 17
0.898419, 0.115898, 12, 18
0.878811, 0.0231336, 12, 19
0.850962, -0.0632831, 12, 20
